city	latitude	longitude
Acampo	38.166668	-121.266670
Adelanto	34.566666	-117.416664
Agoura	34.133331	-118.733330
Agoura Hills	34.150002	-118.750000
Agua Dulce	34.483334	-118.316666
Aguanga	33.433334	-116.849998
Alameda	37.750000	-122.266670
Alamo	37.849998	-122.016670
Albany	37.883331	-122.283333
Alhambra	34.066666	-118.133331
Aliso Viejo	33.566666	-117.716667
Alpine	32.833332	-116.766670
Alta	39.200001	-120.800003
Altadena	34.183334	-118.133331
Alturas	41.483334	-120.533333
Alum Rock	37.366669	-121.816666
Alviso	37.416668	-121.966667
Amboy	34.549999	-115.733330
American Canyon	38.166668	-122.250000
Anaheim	33.833332	-117.883331
Anderson	40.433334	-122.283333
Andrade	32.716667	-114.716667
Angwin	38.566666	-122.433334
Antioch	38.000000	-121.800003
Apple Valley	34.516666	-117.216667
Arbuckle	39.016666	-122.050003
Arcadia	34.116669	-118.033333
Arcata	40.849998	-124.066666
Arleta	34.233334	-118.416664
Arnold	39.516666	-123.383331
Aromas	36.883331	-121.633331
Arroyo Grande	35.116669	-120.583336
Artesia	33.866669	-118.066666
Arvin	35.200001	-118.816666
Atascadero	35.483334	-120.666664
Atherton	37.450001	-122.199997
Atlanta	37.799999	-121.116669
Atwater	37.333332	-120.599998
Atwood	33.849998	-117.816666
Auburn	38.883331	-121.066666
Avalon	33.333332	-118.316666
Avenal	36.000000	-120.116669
Azusa	34.116669	-117.900002
Bakersfield	35.366669	-119.016670
Balboa Peninsula	33.583332	-117.900002
Baldwin Park	34.066666	-117.966667
Banning	33.916668	-116.883331
Barstow	34.883331	-117.016670
Bartlett Springs	39.183334	-122.699997
Bassett	34.033333	-117.983330
Bay Point	38.016666	-121.949997
Beale Air Force Base	39.133331	-121.433334
Beaumont	33.916668	-116.966667
Bell	33.966667	-118.183334
Bell Gardens	33.966667	-118.150002
Bellflower	33.883331	-118.116669
Belmont	37.516666	-122.283333
Benicia	38.049999	-122.150002
Berkeley	37.866669	-122.266670
Bethel Island	38.000000	-121.633331
Beverly Hills	34.066666	-118.383331
Big Bear Lake	34.233334	-116.900002
Biola	36.799999	-120.000000
Birds Landing	38.116669	-121.866669
Bishop	37.349998	-118.383331
Bloomington	34.049999	-117.383331
Blue Canyon	39.250000	-120.699997
Blue Lake	40.866669	-123.983330
Blythe	33.599998	-114.583336
Bodega Bay	38.316666	-123.033333
Bonsall	33.266666	-117.183334
Boron	34.983334	-117.633331
Borrego Springs	33.233334	-116.366669
Boulder Creek	37.116669	-122.116669
Box Springs	33.933334	-117.283333
Boyle Heights	34.033333	-118.199997
Bradbury	34.133331	-117.966667
Brawley	32.966667	-115.516670
Brea	33.916668	-117.883331
Brentwood	37.916668	-121.683334
Bridgeport	38.250000	-119.216667
Brisbane	37.666668	-122.416664
Buellton	34.599998	-120.183334
Buena Park	33.849998	-118.000000
Burbank	34.166668	-118.300003
