Adelanto	31765
Agoura Hills	20330
Alhambra	83089
Aliso Viejo	47823
AlturasCounty seat	2827
Amador City	185
American Canyon	19454
Anaheim	336265
Anderson	9932
Angels Camp	3836
Antioch	102372
Apple Valley	69135
Arcadia	56364
Arcata	17231
Arroyo Grande	17252
Artesia	16522
Arvin	19304
Atascadero	28310
Atherton	6914
Atwater	28168
AuburnCounty seat	13330
Avalon	3728
Avenal	15505
Azusa	46361
BakersfieldCounty seat	347483
Baldwin Park	75390
Banning	29603
Barstow	22639
Beaumont	36877
Bell	35477
Bell Gardens	42072
Bellflower	76616
Belmont	25835
Belvedere	2068
Benicia	26997
Berkeley	112580
Beverly Hills	34109
Big Bear Lake	5019
Biggs	1707
Bishop	3879
Blue Lake	1253
Blythe	20817
Bradbury	1048
Brawley	24953
Brea	39282
Brentwood	51481
Brisbane	4282
Buellton	4828
Buena Park	80530
Burbank	103340
Burlingame	28806
Calabasas	23058
Calexico	38572
California City	14120
Calimesa	7879
Calipatria	7705
Calistoga	5155
Camarillo	65201
Campbell	39349
Canyon Lake	10561
Capitola	9918
Carlsbad	105328
Carmel-by-the-Sea	3722
Carpinteria	13040
Carson	91714
Cathedral City	51200
Ceres	45417
Cerritos	49041
Chico	86187
Chino	77983
Chino Hills	74799
Chowchilla	18720
Chula Vista	243916
Citrus Heights	83301
Claremont	34926
Clayton	10897
Clearlake	15250
Cloverdale	8618
Clovis	95631
Coachella	40704
Coalinga	13380
Colfax	1963
Colma	1792
Colton	52154
ColusaCounty seat	5971
Commerce	12823
Compton	96455
Concord	122067
Corcoran	24813
Corning	7663
Corona	152374
Coronado	24697
Corte Madera	9253
Costa Mesa	109960
Cotati	7265
Covina	47796
Crescent CityCounty seat	7643
Cudahy	23805
Culver City	38883
Cupertino	58302
Cypress	47802
Daly City	101123
Dana Point	33351
Danville	42039
Davis	65622
Del Mar	4161
Del Rey Oaks	1624
Delano	53041
Desert Hot Springs	25938
Diamond Bar	55544
Dinuba	21453
Dixon	18351
Dorris	939
Dos Palos	4950
Downey	111772
Duarte	21321
Dublin	46036
Dunsmuir	1650
East Palo Alto	28155
Eastvale	53670
El Cajon	99478
El CentroCounty seat	42598
El Cerrito	23549
El Monte	113475
El Segundo	16654
Elk Grove	153015
Emeryville	10080
Encinitas	59518
Escalon	7132
Escondido	143911
Etna	737
EurekaCounty seat	27191
Exeter	10334
Fairfax	7441
FairfieldCounty seat	105321
Farmersville	10588
Ferndale	1371
Fillmore	15002
Firebaugh	7549
Folsom	72203
Fontana	196069
Fort Bragg	7273
Fort Jones	839
Fortuna	11926
Foster City	30567
Fountain Valley	55313
Fowler	5570
Fremont	214089
FresnoCounty seat	494665
Fullerton	135161
Galt	23647
Garden Grove	170883
Gardena	58829
Gilroy	48821
Glendale	191719
Glendora	50073
Goleta	29888
Gonzales	8187
Grand Terrace	12040
Grass Valley	12860
Greenfield	16330
Gridley	6584
Grover Beach	13156
Guadalupe	7080
Gustine	5520
Half Moon Bay	11324
HanfordCounty seat	53967
Hawaiian Gardens	14254
Hawthorne	84293
Hayward	144186
Healdsburg	11254
Hemet	78657
Hercules	24060
Hermosa Beach	19506
Hesperia	90173
Hidden Hills	1856
Highland	53104
Hillsborough	10825
HollisterCounty seat	34928
Holtville	5939
Hughson	6640
Huntington Beach	189992
Huntington Park	58114
Huron	6754
Imperial	14758
Imperial Beach	26324
Indian Wells	4958
Indio	76036
Industry	219
Inglewood	109673
Ione	7918
Irvine	212375
Irwindale	1422
Isleton	804
JacksonCounty seat	4651
Jurupa Valley	95004
Kerman	13544
King City	12874
Kingsburg	11382
La Cañada Flintridge	20246
La Habra	60239
La Habra Heights	5325
La Mesa	57065
La Mirada	48527
La Palma	15568
La Puente	39816
La Quinta	37467
La Verne	31063
Lafayette	23893
Laguna Beach	22723
Laguna Hills	30344
Laguna Niguel	62979
Laguna Woods	16192
Lake Elsinore	51821
Lake Forest	77264
LakeportCounty seat	4753
Lakewood	80048
Lancaster	156633
Larkspur	11926
Lathrop	18023
Lawndale	32769
Lemon Grove	25320
Lemoore	24531
Lincoln	42819
Lindsay	11768
Live Oak	8392
Livermore	80968
Livingston	13058
Lodi	62134
Loma Linda	23261
Lomita	20256
Lompoc	42434
Long Beach	462257
Loomis	6430
Los Alamitos	11449
Los Altos	28976
Los Altos Hills	7922
Los AngelesCounty seat	3792621
Los Banos	35972
Los Gatos	29413
Loyalton	769
Lynwood	69772
MaderaCounty seat	61416
Malibu	12645
Mammoth Lakes	8234
Manhattan Beach	35135
Manteca	67096
Maricopa	1154
Marina	19718
MartinezCounty seat	35824
MarysvilleCounty seat	12072
Maywood	27395
McFarland	12707
Mendota	11014
Menifee	77519
Menlo Park	32026
MercedCounty seat	78958
Mill Valley	13903
Millbrae	21532
Milpitas	66790
Mission Viejo	93305
ModestoCounty seat	201165
Monrovia	36590
Montague	1443
Montclair	36664
Monte Sereno	3341
Montebello	62500
Monterey	27810
Monterey Park	60269
Moorpark	34421
Moraga	16016
Moreno Valley	193365
Morgan Hill	37882
Morro Bay	10234
Mount Shasta	3394
Mountain View	74066
Murrieta	103466
NapaCounty seat	76915
National City	58582
Needles	4844
Nevada CityCounty seat	3068
Newark	42573
Newman	10224
Newport Beach	85186
Norco	27063
Norwalk	105549
Novato	51904
Oakdale	20675
OaklandCounty seat	390724
Oakley	35432
Oceanside	167086
Ojai	7461
Ontario	163924
Orange	134616
Orange Cove	9078
Orinda	17643
Orland	7291
OrovilleCounty seat	15546
Oxnard	197899
Pacific Grove	15041
Pacifica	37234
Palm Desert	48445
Palm Springs	44552
Palmdale	152750
Palo Alto	64403
Palos Verdes Estates	13438
Paradise	26218
Paramount	54098
Parlier	14494
Pasadena	137122
Paso Robles	29793
Patterson	20413
Perris	68386
Petaluma	57941
Pico Rivera	62942
Piedmont	10667
Pinole	18390
Pismo Beach	7655
Pittsburg	63264
Placentia	50533
PlacervilleCounty seat	10389
Pleasant Hill	33152
Pleasanton	70285
Plymouth	1005
Point Arena	449
Pomona	149058
Port Hueneme	21723
Porterville	54165
Portola	2104
Portola Valley	4353
Poway	47811
Rancho Cordova	64776
Rancho Cucamonga	165269
Rancho Mirage	17218
Rancho Palos Verdes	41643
Rancho Santa Margarita	47853
Red BluffCounty seat	14076
ReddingCounty seat	89861
Redlands	68747
Redondo Beach	66747
Redwood CityCounty seat	76815
Reedley	24194
Rialto	99171
Richmond	103701
Ridgecrest	27616
Rio Dell	3368
Rio Vista	7360
Ripon	14297
Riverbank	22678
RiversideCounty seat	303871
Rocklin	56974
Rohnert Park	40971
Rolling Hills	1860
Rolling Hills Estates	8067
Rosemead	53764
Roseville	118788
Ross	2415
SacramentoCounty seat	466488
SalinasCounty seat	150441
San Anselmo	12336
San BernardinoCounty seat	209924
San Bruno	41114
San Carlos	28406
San Clemente	63522
San DiegoCounty seat	1301617
San Dimas	33371
San Fernando	23645
San FranciscoCounty seat	805235
San Gabriel	39718
San Jacinto	44199
San Joaquin	4001
San JoseCounty seat	945942
San Juan Bautista	1862
San Juan Capistrano	34593
San Leandro	84950
San Luis ObispoCounty seat	45119
San Marcos	83781
San Marino	13147
San Mateo	97207
San Pablo	29139
San RafaelCounty seat	57713
San Ramon	72148
Sand City	334
Sanger	24270
